Zone,PIB_2017,stabilite_politique_2017
Paraguay,38997129473.5613,-0.0028554622549563
Pays-Bas,848233537845.884,0.907123684883118
Philippines,328480736802.76,-1.18929100036621
Pologne,528356676667.211,0.509756147861481
Polynésie française,5833352692.7995,
Portugal,220862990767.229,1.10616970062256
Pérou,211007984080.911,-0.2635098695755
Roumanie,210147385855.419,0.0485141687095165
Royaume-Uni de Grande-Bretagne et d'Irlande du Nord,2699118387873.1,0.380680292844772
Rwanda,9252833891.40871,0.0782710164785385
République centrafricaine,2072349972.6818,-1.99353337287903
République de Corée,1710196756713.17,0.381830722093582
République de Moldova,9514404016.20949,-0.31498920917511
République dominicaine,79070274743.1658,0.152073904871941
République démocratique populaire lao,17071155481.4994,0.394012778997421
République populaire démocratique de Corée,,-0.500023424625397
République-Unie de Tanzanie,53274884532.7886,-0.570162117481232
Samoa,884844384.463214,1.16163432598114
Sao Tomé-et-Principe,322002845.229335,0.183461591601372
Serbie,45972834713.8077,0.0833679884672165
Sierra Leone,5749846528.48046,-0.0394265502691269
Slovaquie,95978130734.9766,0.902731478214264
Slovénie,48153200134.6613,0.866365492343903
Soudan,41283617976.1905,-1.97152543067932
Sri Lanka,94369350285.5814,-0.0754480063915253
Suisse,695200833086.499,1.24231648445129
Suriname,3591679430.99988,0.11980140209198
Suède,535172356784.769,0.968603014945984
Sénégal,20996562943.5979,-0.0557225905358791
Tadjikistan,7536402852.85802,-0.674310863018036
Tchad,13349041408.7152,-1.28639268875122
Tchéquie,221563575696.217,0.990650773048401
Thaïlande,456356813536.764,-0.754879415035248
Timor-Leste,1584878439.93596,0.0663827210664749
Togo,6387424239.8801,-0.874444663524628
Trinité-et-Tobago,23830750900.6899,0.269299238920212
Tunisie,42163530590.9462,-1.02349054813385
Turkménistan,37926285714.2857,-0.128823027014732
Turquie,863874522365.276,-1.78637635707855
Ukraine,112090505081.739,-1.86741781234741
Uruguay,65005997963.4822,1.04009222984314
Venezuela (République bolivarienne du),115883275162.586,-1.2522406578064
Viet Nam,281353605986.903,0.211102172732353
Yémen,26842229044.5848,-2.93431735038757
Zambie,25873601260.8353,0.142043307423592
Zimbabwe,51035657370.5179,-0.710430860519409
Égypte,248362771739.13,-1.42964589595795
Émirats arabes unis,403365010211.028,0.601949751377106
Équateur,104467486000.0,-0.0789320766925812
États-Unis d'Amérique,19477336549000.0,0.262138307094574
Éthiopie,76366081766.6667,-1.67723059654236
Îles Salomon,1469790526.3972,0.188088729977608
